"","ST","STATE","OCC_CODE","FIRST_TOT_EMP","FIRST_YEAR","LAST_TOT_EMP","LAST_YEAR","percent_change_emp","OCC_TITLE"
"3409","CA","California","19-3039",690,2004,1490,2015,115.94,"Psychologists, all other"
"3410","CA","California","19-3041",280,2000,620,2015,121.43,"Sociologists"
"3411","CA","California","19-3051",4510,1999,7020,2015,55.65,"Urban and regional planners"
"3412","CA","California","19-3091",540,1999,1760,2015,225.93,"Anthropologists and archeologists"
"3413","CA","California","19-3092",70,1999,80,2015,14.29,"Geographers"
"3414","CA","California","19-3093",50,1999,340,2015,580,"Historians"
"3415","CA","California","19-3094",60,1999,390,2015,550,"Political scientists"
"3416","CA","California","19-3099",2830,2004,3520,2015,24.38,"Social scientists and related workers, all other"
"3417","CA","California","19-4011",2260,1999,2800,2015,23.89,"Agricultural and food science technicians"
"3418","CA","California","19-4021",5100,1999,12510,2015,145.29,"Biological technicians"
"3419","CA","California","19-4031",4770,1999,5890,2015,23.48,"Chemical technicians"
"3420","CA","California","19-4041",1340,1999,1330,2015,-0.75,"Geological and petroleum technicians"
"3421","CA","California","19-4051",820,1999,250,2015,-69.51,"Nuclear technicians"
"3422","CA","California","19-4061",1190,2004,3100,2015,160.5,"Social science research assistants"
"3423","CA","California","19-4091",2280,1999,4200,2015,84.21,"Environmental science and protection technicians, including health"
"3424","CA","California","19-4092",600,1999,2270,2015,278.33,"Forensic science technicians"
"3425","CA","California","19-4093",2250,1999,7000,2015,211.11,"Forest and conservation technicians"
"3426","CA","California","19-4099",6620,2004,8910,2015,34.59,"Life, physical, and social science technicians, all other"
"3427","CA","California","21-0000",145470,1999,226990,2015,56.04,"Community and social services occupations"
"3428","CA","California","21-1011",6710,1999,8570,2015,27.72,"Substance abuse and behavioral disorder counselors"
"3429","CA","California","21-1012",22240,1999,28130,2015,26.48,"Educational, vocational, and school counselors"
"3430","CA","California","21-1013",2970,1999,8340,2015,180.81,"Marriage and family therapists"
"3431","CA","California","21-1014",5610,1999,12400,2015,121.03,"Mental health counselors"
"3432","CA","California","21-1015",4020,1999,11570,2015,187.81,"Rehabilitation counselors"
"3433","CA","California","21-1019",1840,2004,2940,2015,59.78,"Counselors, all other"
"3434","CA","California","21-1021",27610,1999,29460,2015,6.7,"Child, family, and school social workers"
"3435","CA","California","21-1022",11270,1999,13740,2015,21.92,"Medical and public health social workers"
"3436","CA","California","21-1023",4910,1999,12820,2015,161.1,"Mental health and substance abuse social workers"
"3437","CA","California","21-1029",8750,2004,10870,2015,24.23,"Social workers, all other"
"3438","CA","California","21-1091",4850,1999,7060,2015,45.57,"Health educators"
"3439","CA","California","21-1092",12580,1999,11130,2015,-11.53,"Probation officers and correctional treatment specialists"
"3440","CA","California","21-1093",17830,1999,44910,2015,151.88,"Social and human service assistants"
"3441","CA","California","21-1094",5350,2012,5360,2015,0.19,"Community health workers"
"3442","CA","California","21-1099",10890,2004,10640,2015,-2.3,"Community and social service specialists, all other"
"3443","CA","California","21-1798",13950,2010,14730,2011,5.59,"Community and social service specialists, all other*"
"3444","CA","California","21-2011",2790,1999,4710,2015,68.82,"Clergy"
"3445","CA","California","21-2021",2750,1999,3210,2015,16.73,"Directors, religious activities and education"
"3446","CA","California","21-2099",1060,2004,1140,2015,7.55,"Religious workers, all other"
"3447","CA","California","23-0000",110070,1999,120200,2015,9.2,"Legal occupations"
"3448","CA","California","23-1011",59760,1999,72790,2015,21.8,"Lawyers"
"3449","CA","California","23-1012",4040,2010,1910,2014,-52.72,"Judicial law clerks"
"3450","CA","California","23-1021",2070,1999,1590,2015,-23.19,"Administrative law judges, adjudicators, and hearing officers"
"3451","CA","California","23-1022",400,1999,1050,2015,162.5,"Arbitrators, mediators, and conciliators"
"3452","CA","California","23-1023",3050,1999,2140,2014,-29.84,"Judges, magistrate judges, and magistrates"
"3453","CA","California","23-2011",18910,1999,29180,2015,54.31,"Paralegals and legal assistants"
"3454","CA","California","23-2091",2500,1999,1970,2014,-21.2,"Court reporters"
"3455","CA","California","23-2092",3710,1999,5690,2009,53.37,"Law clerks"
"3456","CA","California","23-2093",4660,1999,5850,2015,25.54,"Title examiners, abstractors, and searchers"
"3457","CA","California","23-2099",7320,2004,6040,2015,-17.49,"Legal support workers, all other"
"3458","CA","California","25-0000",822590,1999,949400,2015,15.42,"Education, training, and library occupations"
"3459","CA","California","25-1011",4190,1999,5950,2015,42,"Business teachers, postsecondary"
"3460","CA","California","25-1021",3480,1999,2520,2015,-27.59,"Computer science teachers, postsecondary"
"3461","CA","California","25-1022",4120,1999,5500,2015,33.5,"Mathematical science teachers, postsecondary"
"3462","CA","California","25-1031",210,1999,440,2012,109.52,"Architecture teachers, postsecondary"
"3463","CA","California","25-1032",1570,1999,2320,2015,47.77,"Engineering teachers, postsecondary"
"3464","CA","California","25-1041",880,2001,460,2015,-47.73,"Agricultural sciences teachers, postsecondary"
"3465","CA","California","25-1042",1900,1999,4330,2015,127.89,"Biological science teachers, postsecondary"
"3466","CA","California","25-1043",110,1999,50,2015,-54.55,"Forestry and conservation science teachers, postsecondary"
"3467","CA","California","25-1051",690,1999,1790,2015,159.42,"Atmospheric, earth, marine, and space sciences teachers, postsecondary"
"3468","CA","California","25-1052",1130,1999,1640,2015,45.13,"Chemistry teachers, postsecondary"
"3469","CA","California","25-1053",240,1999,260,2015,8.33,"Environmental science teachers, postsecondary"
"3470","CA","California","25-1054",770,1999,1180,2015,53.25,"Physics teachers, postsecondary"
"3471","CA","California","25-1061",360,1999,530,2015,47.22,"Anthropology and archeology teachers, postsecondary"
"3472","CA","California","25-1062",410,1999,700,2015,70.73,"Area, ethnic, and cultural studies teachers, postsecondary"
"3473","CA","California","25-1063",540,1999,940,2015,74.07,"Economics teachers, postsecondary"
"3474","CA","California","25-1064",160,1999,280,2015,75,"Geography teachers, postsecondary"
"3475","CA","California","25-1065",550,1999,1230,2015,123.64,"Political science teachers, postsecondary"
"3476","CA","California","25-1066",1730,1999,4580,2015,164.74,"Psychology teachers, postsecondary"
"3477","CA","California","25-1067",1130,1999,1000,2015,-11.5,"Sociology teachers, postsecondary"
"3478","CA","California","25-1069",1650,2004,1970,2015,19.39,"Social sciences teachers, postsecondary, all other"
"3479","CA","California","25-1071",4250,1999,12610,2015,196.71,"Health specialties teachers, postsecondary"
"3480","CA","California","25-1072",2900,1999,4360,2015,50.34,"Nursing instructors and teachers, postsecondary"
"3481","CA","California","25-1081",1570,1999,3690,2015,135.03,"Education teachers, postsecondary"
"3482","CA","California","25-1082",130,1999,300,2015,130.77,"Library science teachers, postsecondary"
"3483","CA","California","25-1111",500,2000,1050,2015,110,"Criminal justice and law enforcement teachers, postsecondary"
"3484","CA","California","25-1112",1360,1999,1130,2015,-16.91,"Law teachers, postsecondary"
"3485","CA","California","25-1113",320,1999,470,2015,46.88,"Social work teachers, postsecondary"
"3486","CA","California","25-1121",4050,1999,14600,2015,260.49,"Art, drama, and music teachers, postsecondary"
"3487","CA","California","25-1122",1590,1999,3110,2015,95.6,"Communications teachers, postsecondary"
"3488","CA","California","25-1123",5250,1999,7750,2015,47.62,"English language and literature teachers, postsecondary"
"3489","CA","California","25-1124",1310,1999,3620,2015,176.34,"Foreign language and literature teachers, postsecondary"
"3490","CA","California","25-1125",1310,1999,1650,2015,25.95,"History teachers, postsecondary"
"3491","CA","California","25-1126",1000,1999,1860,2015,86,"Philosophy and religion teachers, postsecondary"
"3492","CA","California","25-1191",10160,1999,16210,2015,59.55,"Graduate teaching assistants"
"3493","CA","California","25-1192",490,1999,470,2015,-4.08,"Home economics teachers, postsecondary"
"3494","CA","California","25-1193",1470,1999,2650,2015,80.27,"Recreation and fitness studies teachers, postsecondary"
"3495","CA","California","25-1194",17940,1999,13840,2015,-22.85,"Vocational education teachers, postsecondary"
"3496","CA","California","25-1199",49040,2004,34420,2013,-29.81,"Postsecondary teachers, all other"
"3497","CA","California","25-2011",34090,1999,47710,2015,39.95,"Preschool teachers, except special education"
"3498","CA","California","25-2012",21620,1999,18460,2015,-14.62,"Kindergarten teachers, except special education"
"3499","CA","California","25-2021",175600,1999,138890,2015,-20.91,"Elementary school teachers, except special education"
"3500","CA","California","25-2022",53590,1999,49750,2015,-7.17,"Middle school teachers, except special and vocational education"
"3501","CA","California","25-2023",740,1999,410,2015,-44.59,"Vocational education teachers, middle school"
"3502","CA","California","25-2031",98620,1999,97260,2015,-1.38,"Secondary school teachers, except special and vocational education"
"3503","CA","California","25-2032",6860,1999,2950,2015,-57,"Vocational education teachers, secondary school"
"3504","CA","California","25-2041",20420,1999,15250,2011,-25.32,"Special education teachers, preschool, kindergarten, and elementary school"
"3505","CA","California","25-2042",6220,1999,5250,2009,-15.59,"Special education teachers, middle school"
"3506","CA","California","25-2043",9040,1999,11140,2009,23.23,"Special education teachers, secondary school"
"3507","CA","California","25-2051",1810,2012,2050,2015,13.26,"Special education teachers, preschool"
"3508","CA","California","25-2052",13340,2012,16420,2015,23.09,"Special education teachers, kindergarten and elementary school"
"3509","CA","California","25-2053",5250,2010,6420,2015,22.29,"Special education teachers, middle school"
"3510","CA","California","25-2054",11250,2010,8930,2015,-20.62,"Special education teachers, secondary school"
"3511","CA","California","25-2059",11810,2012,4740,2015,-59.86,"Special education teachers, all other"
"3512","CA","California","25-3011",6600,1999,9110,2015,38.03,"Adult literacy, remedial education, and ged teachers and instructors"
"3513","CA","California","25-3021",23940,1999,23360,2015,-2.42,"Self-enrichment education teachers"
"3514","CA","California","25-3097",49020,2014,48000,2015,-2.08,"Teachers and instructors, all other, except substitute teachers"
"3515","CA","California","25-3098",88770,2012,95000,2015,7.02,"Substitute teachers"
"3516","CA","California","25-3099",81270,2004,44690,2013,-45.01,"Teachers and instructors, all other"
"3517","CA","California","25-3999",75040,2010,107900,2011,43.79,"Teachers and instructors, all other*"
"3518","CA","California","25-4010",1530,1999,2100,2003,37.25,"Archivists, curators, and museum technicians"
"3519","CA","California","25-4011",440,2004,520,2015,18.18,"Archivists"
"3520","CA","California","25-4012",880,2004,1050,2015,19.32,"Curators"
"3521","CA","California","25-4013",850,2004,1400,2015,64.71,"Museum technicians and conservators"
"3522","CA","California","25-4021",11910,1999,9540,2015,-19.9,"Librarians"
"3523","CA","California","25-4031",14730,1999,9820,2015,-33.33,"Library technicians"
"3524","CA","California","25-9011",670,1999,1860,2015,177.61,"Audio-visual collections specialists"
"3525","CA","California","25-9021",80,1999,50,2014,-37.5,"Farm and home management advisors"
"3526","CA","California","25-9031",9670,1999,18340,2015,89.66,"Instructional coordinators"
"3527","CA","California","25-9041",133810,1999,141010,2015,5.38,"Teacher assistants"
"3528","CA","California","25-9099",6520,2004,29050,2015,345.55,"Education, training, and library workers, all other"
"3529","CA","California","27-0000",306070,1999,296230,2015,-3.21,"Arts, design, entertainment, sports, and media occupations"
"3530","CA","California","27-1011",2200,1999,6270,2015,185,"Art directors"
"3531","CA","California","27-1012",310,2004,370,2015,19.35,"Craft artists"
"3532","CA","California","27-1013",1230,1999,3100,2015,152.03,"Fine artists, including painters, sculptors, and illustrators"
"3533","CA","California","27-1014",5020,1999,10110,2015,101.39,"Multi-media artists and animators"
"3534","CA","California","27-1019",320,2004,550,2013,71.88,"Artists and related workers, all other"
"3535","CA","California","27-1021",2300,1999,4110,2015,78.7,"Commercial and industrial designers"
"3536","CA","California","27-1022",1550,1999,6180,2015,298.71,"Fashion designers"
"3537","CA","California","27-1023",6430,1999,3230,2015,-49.77,"Floral designers"
"3538","CA","California","27-1024",16260,1999,28940,2015,77.98,"Graphic designers"
"3539","CA","California","27-1025",2330,1999,6770,2015,190.56,"Interior designers"
"3540","CA","California","27-1026",7570,1999,10050,2015,32.76,"Merchandise displayers and window trimmers"
"3541","CA","California","27-1027",1140,1999,2910,2015,155.26,"Set and exhibit designers"
"3542","CA","California","27-1029",1780,2004,1530,2015,-14.04,"Designers, all other"
"3543","CA","California","27-2011",33590,1999,17090,2015,-49.12,"Actors"
"3544","CA","California","27-2012",5970,1999,25510,2015,327.3,"Producers and directors"
"3545","CA","California","27-2021",280,2000,770,2015,175,"Athletes and sports competitors"
"3546","CA","California","27-2022",3940,1999,29900,2015,658.88,"Coaches and scouts"
"3547","CA","California","27-2023",760,2000,1780,2015,134.21,"Umpires, referees, and other sports officials"
"3548","CA","California","27-2031",990,1999,1470,2015,48.48,"Dancers"
"3549","CA","California","27-2032",380,2000,570,2015,50,"Choreographers"
"3550","CA","California","27-2041",780,1999,2650,2015,239.74,"Music directors and composers"
"3551","CA","California","27-2042",8400,1999,6380,2015,-24.05,"Musicians and singers"
"3552","CA","California","27-2099",51080,2004,2330,2015,-95.44,"Entertainers and performers, sports and related workers, all other"
"3553","CA","California","27-3010",3840,1999,4490,2003,16.93,"Announcers"
"3554","CA","California","27-3011",3330,2004,3060,2015,-8.11,"Radio and television announcers"
"3555","CA","California","27-3012",1580,2004,880,2015,-44.3,"Public address system and other announcers"
"3556","CA","California","27-3020",5320,1999,5190,2003,-2.44,"News analysts, reporters and correspondents"
"3557","CA","California","27-3021",470,2004,530,2015,12.77,"Broadcast news analysts"
"3558","CA","California","27-3022",4400,2004,3630,2015,-17.5,"Reporters and correspondents"
"3559","CA","California","27-3031",13210,1999,22820,2015,72.75,"Public relations specialists"
"3560","CA","California","27-3041",12530,1999,9920,2015,-20.83,"Editors"
"3561","CA","California","27-3042",6850,1999,7300,2015,6.57,"Technical writers"
"3562","CA","California","27-3043",6680,1999,7890,2015,18.11,"Writers and authors"
"3563","CA","California","27-3091",1720,1999,7700,2015,347.67,"Interpreters and translators"
"3564","CA","California","27-3099",3220,2004,8870,2015,175.47,"Media and communication workers, all other"
"3565","CA","California","27-4011",3920,1999,13060,2015,233.16,"Audio and video equipment technicians"
"3566","CA","California","27-4012",3210,1999,3950,2015,23.05,"Broadcast technicians"
"3567","CA","California","27-4013",520,1999,40,2012,-92.31,"Radio operators"
"3568","CA","California","27-4014",2380,1999,4260,2015,78.99,"Sound engineering technicians"
"3569","CA","California","27-4021",8430,1999,6360,2015,-24.56,"Photographers"
"3570","CA","California","27-4031",2620,1999,5110,2015,95.04,"Camera operators, television, video, and motion picture"
"3571","CA","California","27-4032",3110,1999,11250,2015,261.74,"Film and video editors"
"3572","CA","California","27-4099",4800,2006,6900,2015,43.75,"Media and communication equipment workers, all other"
"3573","CA","California","29-0000",621900,1999,749930,2015,20.59,"Healthcare practitioners and technical occupations"
"3574","CA","California","29-1011",1130,2000,2860,2015,153.1,"Chiropractors"
"3575","CA","California","29-1020",7000,1999,11730,2003,67.57,"Dentists"
"3576","CA","California","29-1021",10580,2004,12870,2015,21.64,"Dentists, general"
"3577","CA","California","29-1022",170,2004,530,2015,211.76,"Oral and maxillofacial surgeons"
"3578","CA","California","29-1023",130,2004,710,2015,446.15,"Orthodontists"
"3579","CA","California","29-1029",170,2005,620,2014,264.71,"Dentists, all other specialists"
"3580","CA","California","29-1031",3220,1999,6890,2015,113.98,"Dietitians and nutritionists"
"3581","CA","California","29-1041",3190,1999,3990,2015,25.08,"Optometrists"
"3582","CA","California","29-1051",23170,1999,29000,2015,25.16,"Pharmacists"
"3583","CA","California","29-1061",420,1999,2430,2015,478.57,"Anesthesiologists"
"3584","CA","California","29-1062",15040,1999,16400,2015,9.04,"Family and general practitioners"
"3585","CA","California","29-1063",2870,1999,5150,2015,79.44,"Internists, general"
"3586","CA","California","29-1064",1110,1999,2300,2015,107.21,"Obstetricians and gynecologists"
"3587","CA","California","29-1065",1600,1999,4010,2015,150.62,"Pediatricians, general"
"3588","CA","California","29-1066",1530,1999,3160,2015,106.54,"Psychiatrists"
"3589","CA","California","29-1067",2470,1999,5180,2015,109.72,"Surgeons"
"3590","CA","California","29-1069",20410,2004,21850,2015,7.06,"Physicians and surgeons, all other"
"3591","CA","California","29-1071",5240,1999,10010,2015,91.03,"Physician assistants"
"3592","CA","California","29-1081",380,1999,880,2015,131.58,"Podiatrists"
"3593","CA","California","29-1111",224190,1999,250230,2011,11.62,"Registered nurses"
"3594","CA","California","29-1121",890,1999,830,2009,-6.74,"Audiologists"
"3595","CA","California","29-1122",9080,1999,10210,2015,12.44,"Occupational therapists"
"3596","CA","California","29-1123",13600,1999,19000,2015,39.71,"Physical therapists"
"3597","CA","California","29-1124",710,1999,1100,2015,54.93,"Radiation therapists"
"3598","CA","California","29-1125",1910,1999,1710,2015,-10.47,"Recreational therapists"
"3599","CA","California","29-1126",9250,1999,14690,2015,58.81,"Respiratory therapists"
"3600","CA","California","29-1127",8190,1999,10480,2015,27.96,"Speech-language pathologists"
"3601","CA","California","29-1128",1980,2010,340,2015,-82.83,"Therapists, all other*"
"3602","CA","California","29-1129",360,2004,1070,2015,197.22,"Therapists, all other"
"3603","CA","California","29-1131",3710,1999,6010,2015,61.99,"Veterinarians"
"3604","CA","California","29-1141",249980,2012,255010,2015,2.01,"Registered nurses"
"3605","CA","California","29-1151",940,2012,1090,2015,15.96,"Nurse anesthetists"
"3606","CA","California","29-1161",400,2012,640,2015,60,"Nurse midwives"
"3607","CA","California","29-1171",9720,2012,10720,2015,10.29,"Nurse practitioners"
"3608","CA","California","29-1181",1290,2010,870,2015,-32.56,"Audiologists"
"3609","CA","California","29-1199",1720,2004,4350,2015,152.91,"Health diagnosing and treating practitioners, all other"
"3610","CA","California","29-2011",18610,1999,10790,2015,-42.02,"Medical and clinical laboratory technologists"
"3611","CA","California","29-2012",17250,1999,17670,2015,2.43,"Medical and clinical laboratory technicians"
"3612","CA","California","29-2021",10510,1999,20560,2015,95.62,"Dental hygienists"
"3613","CA","California","29-2031",3360,1999,3940,2015,17.26,"Cardiovascular technologists and technicians"
"3614","CA","California","29-2032",2810,1999,5060,2015,80.07,"Diagnostic medical sonographers"
"3615","CA","California","29-2033",1810,1999,1600,2015,-11.6,"Nuclear medicine technologists"
"3616","CA","California","29-2034",18670,1999,16540,2015,-11.41,"Radiologic technologists and technicians"
"3617","CA","California","29-2035",1920,2012,2650,2015,38.02,"Magnetic resonance imaging technologists"
"3618","CA","California","29-2037",16350,2010,17170,2011,5.02,"Radiologic technologists and technicians*"
"3619","CA","California","29-2041",14000,1999,16720,2015,19.43,"Emergency medical technicians and paramedics"
"3620","CA","California","29-2051",1870,1999,3670,2015,96.26,"Dietetic technicians"
"3621","CA","California","29-2052",16970,1999,33010,2015,94.52,"Pharmacy technicians"
"3622","CA","California","29-2053",8690,1999,8010,2015,-7.83,"Psychiatric technicians"
"3623","CA","California","29-2054",2310,1999,650,2015,-71.86,"Respiratory therapy technicians"
"3624","CA","California","29-2055",7530,1999,9300,2015,23.51,"Surgical technologists"
"3625","CA","California","29-2056",6290,1999,9270,2015,47.38,"Veterinary technologists and technicians"
"3626","CA","California","29-2057",3530,2012,4120,2015,16.71,"Ophthalmic medical technicians"
"3627","CA","California","29-2061",55430,1999,65250,2015,17.72,"Licensed practical and licensed vocational nurses"
"3628","CA","California","29-2071",11400,1999,18860,2015,65.44,"Medical records and health information technicians"
"3629","CA","California","29-2081",4810,1999,7810,2015,62.37,"Opticians, dispensing"
"3630","CA","California","29-2091",150,1999,580,2015,286.67,"Orthotists and prosthetists"
"3631","CA","California","29-2092",860,2012,670,2015,-22.09,"Hearing aid specialists"
"3632","CA","California","29-2099",10570,2004,12940,2015,22.42,"Health technologists and technicians, all other"
"3633","CA","California","29-2799",12060,2010,14460,2011,19.9,"Health technologists and technicians, all other*"
"3634","CA","California","29-9010",1960,1999,3560,2003,81.63,"Occupational health and safety specialists and technicians"
"3635","CA","California","29-9011",3520,2004,5590,2015,58.81,"Occupational health and safety specialists"
"3636","CA","California","29-9012",360,2004,1020,2015,183.33,"Occupational health and safety technicians"
"3637","CA","California","29-9091",870,1999,1490,2015,71.26,"Athletic trainers"
"3638","CA","California","29-9092",500,2012,510,2015,2,"Genetic counselors"
"3639","CA","California","29-9099",6530,2004,4980,2015,-23.74,"Healthcare practitioners and technical workers, all other"
"3640","CA","California","29-9799",7880,2010,8010,2011,1.65,"Healthcare practitioners and technical workers, all other*"
"3641","CA","California","31-0000",259670,1999,352700,2015,35.83,"Healthcare support occupations"
"3642","CA","California","31-1011",36490,1999,31730,2015,-13.04,"Home health aides"
"3643","CA","California","31-1012",93210,1999,107950,2011,15.81,"Nursing aides, orderlies, and attendants"
"3644","CA","California","31-1013",1470,1999,2180,2015,48.3,"Psychiatric aides"
"3645","CA","California","31-1014",99500,2012,98040,2015,-1.47,"Nursing assistants"
"3646","CA","California","31-1015",5380,2012,4150,2015,-22.86,"Orderlies"
"3647","CA","California","31-2011",830,1999,1920,2015,131.33,"Occupational therapist assistants"
"3648","CA","California","31-2012",1060,1999,810,2015,-23.58,"Occupational therapist aides"
"3649","CA","California","31-2021",3040,1999,4920,2015,61.84,"Physical therapist assistants"
"3650","CA","California","31-2022",4680,1999,6400,2015,36.75,"Physical therapist aides"
"3651","CA","California","31-9011",4930,1999,14330,2015,190.67,"Massage therapists"
"3652","CA","California","31-9091",21960,1999,49210,2015,124.09,"Dental assistants"
"3653","CA","California","31-9092",39140,1999,82830,2015,111.62,"Medical assistants"
"3654","CA","California","31-9093",3320,1999,6350,2015,91.27,"Medical equipment preparers"
"3655","CA","California","31-9094",8380,1999,3990,2015,-52.39,"Medical transcriptionists"
"3656","CA","California","31-9095",8920,1999,10460,2015,17.26,"Pharmacy aides"
"3657","CA","California","31-9096",3600,1999,10410,2015,189.17,"Veterinary assistants and laboratory animal caretakers"
"3658","CA","California","31-9097",10070,2012,12780,2015,26.91,"Phlebotomists"
"3659","CA","California","31-9099",29950,2004,12200,2015,-59.27,"Healthcare support workers, all other"
"3660","CA","California","31-9799",23170,2010,22410,2011,-3.28,"Healthcare support workers, all other*"
"3661","CA","California","33-0000",360810,1999,380720,2015,5.52,"Protective service occupations"
"3662","CA","California","33-1011",3970,1999,4540,2015,14.36,"First-line supervisors/managers of correctional officers"
"3663","CA","California","33-1012",11810,1999,3740,2014,-68.33,"First-line supervisors/managers of police and detectives"
"3664","CA","California","33-1021",7320,1999,2440,2015,-66.67,"First-line supervisors/managers of fire fighting and prevention workers"
"3665","CA","California","33-1099",6000,2004,7980,2014,33,"First-line supervisors/managers, protective service workers, all other"
"3666","CA","California","33-2011",23970,1999,34100,2015,42.26,"Fire fighters"
"3667","CA","California","33-2021",710,1999,950,2015,33.8,"Fire inspectors and investigators"
"3668","CA","California","33-2022",60,2001,340,2015,466.67,"Forest fire inspectors and prevention specialists"
"3669","CA","California","33-3011",160,2001,310,2015,93.75,"Bailiffs"
"3670","CA","California","33-3012",29430,1999,34640,2015,17.7,"Correctional officers and jailers"
"3671","CA","California","33-3021",8250,1999,12390,2015,50.18,"Detectives and criminal investigators"
"3672","CA","California","33-3031",550,1999,350,2015,-36.36,"Fish and game wardens"
"3673","CA","California","33-3041",800,1999,1700,2015,112.5,"Parking enforcement workers"
"3674","CA","California","33-3051",66780,1999,70930,2015,6.21,"Police and sheriff's patrol officers"
"3675","CA","California","33-3052",2200,2000,480,2015,-78.18,"Transit and railroad police"
"3676","CA","California","33-9011",2090,1999,1520,2015,-27.27,"Animal control workers"
"3677","CA","California","33-9021",2840,1999,4380,2015,54.23,"Private detectives and investigators"
"3678","CA","California","33-9031",560,1999,1170,2015,108.93,"Gaming surveillance officers and gaming investigators"
"3679","CA","California","33-9032",157590,1999,151130,2015,-4.1,"Security guards"
"3680","CA","California","33-9091",4600,1999,6720,2015,46.09,"Crossing guards"
"3681","CA","California","33-9092",10650,2004,17230,2015,61.78,"Lifeguards, ski patrol, and other recreational protective service workers"
"3682","CA","California","33-9093",5070,2010,4840,2015,-4.54,"Transportation security screeners* (federal only)"
"3683","CA","California","33-9099",25210,2004,18440,2015,-26.85,"Protective service workers, all other"
"3684","CA","California","35-0000",1050600,1999,1456340,2015,38.62,"Food preparation and serving related occupations"
"3685","CA","California","35-1011",15310,1999,19290,2015,26,"Chefs and head cooks"
"3686","CA","California","35-1012",56590,1999,91870,2015,62.34,"First-line supervisors/managers of food preparation and serving workers"
"3687","CA","California","35-2011",25960,1999,99480,2015,283.2,"Cooks, fast food"
"3688","CA","California","35-2012",25150,1999,26330,2015,4.69,"Cooks, institution and cafeteria"
"3689","CA","California","35-2013",160,2004,100,2012,-37.5,"Cooks, private household"
"3690","CA","California","35-2014",81890,1999,124930,2015,52.56,"Cooks, restaurant"
"3691","CA","California","35-2015",12780,1999,22580,2015,76.68,"Cooks, short order"
"3692","CA","California","35-2019",480,2004,2320,2015,383.33,"Cooks, all other"
"3693","CA","California","35-2021",80560,1999,120940,2015,50.12,"Food preparation workers"
"3694","CA","California","35-3011",37660,1999,57690,2015,53.19,"Bartenders"
"3695","CA","California","35-3021",233980,1999,336790,2015,43.94,"Combined food preparation and serving workers, including fast food"
"3696","CA","California","35-3022",44960,1999,56540,2015,25.76,"Counter attendants, cafeteria, food concession, and coffee shop"
"3697","CA","California","35-3031",219380,1999,268840,2015,22.55,"Waiters and waitresses"
"3698","CA","California","35-3041",21430,1999,26000,2015,21.33,"Food servers, nonrestaurant"
"3699","CA","California","35-9011",59900,1999,66720,2015,11.39,"Dining room and cafeteria attendants and bartender helpers"
"3700","CA","California","35-9021",68430,1999,82540,2015,20.62,"Dishwashers"
"3701","CA","California","35-9031",48910,1999,44890,2015,-8.22,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"3702","CA","California","35-9099",4840,2004,8560,2015,76.86,"Food preparation and serving related workers, all other"
"3703","CA","California","37-0000",466750,1999,480780,2015,3.01,"Building and grounds cleaning and maintenance occupations"
"3704","CA","California","37-1011",15750,1999,18310,2015,16.25,"First-line supervisors/managers of housekeeping and janitorial workers"
"3705","CA","California","37-1012",10170,1999,11160,2015,9.73,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers"
"3706","CA","California","37-2011",222550,1999,220000,2015,-1.15,"Janitors and cleaners, except maids and housekeeping cleaners"
"3707","CA","California","37-2012",80470,1999,102080,2015,26.85,"Maids and housekeeping cleaners"
"3708","CA","California","37-2019",340,2004,1650,2015,385.29,"Building cleaning workers, all other"
"3709","CA","California","37-2021",4730,1999,9320,2015,97.04,"Pest control workers"
"3710","CA","California","37-3011",110640,1999,108060,2015,-2.33,"Landscaping and groundskeeping workers"
"3711","CA","California","37-3012",1640,1999,2890,2015,76.22,"Pesticide handlers, sprayers, and applicators, vegetation"
"3712","CA","California","37-3013",6170,1999,5610,2015,-9.08,"Tree trimmers and pruners"
"3713","CA","California","37-3019",1820,2004,1710,2015,-6.04,"Grounds maintenance workers, all other"
"3714","CA","California","39-0000",247200,1999,461430,2015,86.66,"Personal care and service occupations"
"3715","CA","California","39-1011",1270,1999,1660,2015,30.71,"Gaming supervisors"
"3716","CA","California","39-1012",1130,1999,1080,2015,-4.42,"Slot key persons"
"3717","CA","California","39-1021",8280,1999,16910,2015,104.23,"First-line supervisors/managers of personal service workers"
"3718","CA","California","39-2011",700,1999,1660,2015,137.14,"Animal trainers"
"3719","CA","California","39-2021",11700,1999,19460,2015,66.32,"Nonfarm animal caretakers"
"3720","CA","California","39-3011",6460,1999,15850,2015,145.36,"Gaming dealers"
"3721","CA","California","39-3012",460,1999,990,2015,115.22,"Gaming and sports book writers and runners"
"3722","CA","California","39-3019",4870,2004,3320,2015,-31.83,"Gaming service workers, all other"
"3723","CA","California","39-3021",1140,1999,490,2015,-57.02,"Motion picture projectionists"
"3724","CA","California","39-3031",14010,1999,16390,2015,16.99,"Ushers, lobby attendants, and ticket takers"
"3725","CA","California","39-3091",20600,1999,40820,2015,98.16,"Amusement and recreation attendants"
"3726","CA","California","39-3092",450,2000,1800,2015,300,"Costume attendants"
"3727","CA","California","39-3093",2300,1999,2720,2015,18.26,"Locker room, coatroom, and dressing room attendants"
